index,full.name,ip.address,region,in.store,age,items,amount
8079,Allen Cummerata,,3,0,35,6,1672.2
8080,Kirstie Jewess,136.28.31.168,1,1,54,4,1067.3
8081,Arletha Medhurst,,2,0,40,3,251.26
8082,Oliver Cruickshank,,2,0,76,3,126.85
8083,Harley Mills,220.144.6.215,1,1,33,2,1718.4
8084,Terry Keeling,,2,0,43,5,218.5
8085,Melba Bernhard,229.6.147.167,1,1,68,8,348.35
8086,Candis Becker,,3,0,37,5,1372.9
8087,Santo Friesen,,4,0,54,3,2233.2
8088,Dominic Lueilwitz,,4,0,58,6,1846.5
8089,Etta Kohler,254.167.91.128,4,1,20,5,1408.9
8090,Lisbeth Jenkins,236.34.6.118,4,1,29,2,319.03
8091,Claude Bogan,,2,0,71,2,256.17
8092,Jerald Kreiger,,4,0,23,8,786.1
8093,Emmaline Pacocha,,2,0,62,4,389.94
8094,Mikel Okuneva,230.37.218.162,4,1,46,8,1681.4
8095,Johnie Heller,148.196.199.66,4,1,54,3,1548.2
8096,Chantell Leannon,,2,0,63,6,33.295
8097,Gerardo Renner,204.120.88.136,1,1,63,5,328.02
8098,Darla Mosciski,,2,0,36,7,271.85
8099,Fermin Halvorson,184.52.86.181,4,1,23,4,373.58
8100,Avery Hettinger,,4,0,34,3,2597.7
8101,Lucinda Roberts,,2,0,43,2,402.04
8102,Raymundo Klocko,,2,0,56,2,404.05
8103,Caitlin Treutel,67.8.43.152,3,1,54,1,294.99
8104,Traci Strosin,,4,0,38,3,2825.5
8105,Harrison Fay,21.220.173.154,1,1,42,7,324.12
8106,Lisette Kiehn,,4,0,41,5,583.09
8107,Otelia Kling,,3,0,36,2,2080.9
8108,Barney Lesch,,2,0,82,4,240.59
8109,Shakira Nicolas,62.109.28.69,3,1,67,1,761.93
8110,Destiny Maggio,93.66.214.140,4,1,30,5,1974.2
8111,Prince Mraz,,2,0,28,4,295.32
8112,Alan Wolff,,2,0,51,7,147.68
8113,Kenneth Stark,44.106.9.217,3,1,66,6,300.46
8114,Charleen Dach,,3,0,32,4,2298.3
8115,Gino Gleason,187.6.72.18,1,1,30,4,338.38
8116,Halina O'Reilly,87.125.22.115,1,1,49,7,295.59
8117,Lou Lynch,78.2.85.172,3,1,62,4,501.54
8118,Darnell Beer,,4,0,42,1,1754.5
8119,Mattie Homenick,,4,0,56,7,1974.4
8120,Julio Grant,245.56.251.233,1,1,57,2,844.67
8121,Mitchel Botsford,133.219.157.158,4,1,38,6,1479.0
8122,else Fritsch,17.22.14.60,1,1,50,1,1243.4
8123,Clemente Dare,211.224.91.30,1,1,25,5,568.1
8124,Alden Veum,44.139.31.131,1,1,41,3,794.11
8125,Gus Shields,136.117.127.141,4,1,36,2,1159.5
8126,Armandina Mayer,35.192.14.155,4,1,30,1,1368.5
8127,Stephine Labadie,26.77.31.214,3,1,56,5,940.34
8128,Giuseppina Harris,,2,0,46,4,297.7
8129,Dayna Kulas,,3,0,48,2,700.27
8130,Vi Schmitt,,4,0,39,5,1911.5
8131,Alden Stehr,11.201.188.101,3,1,43,5,826.49
8132,Mariano Boehm,,3,0,45,3,2569.5
8133,Earnest Kuvalis,,2,0,73,3,35.753
8134,Kirsten Jacobi,142.8.244.229,3,1,66,4,176.31
8135,Dick Macejkovic,,4,0,52,6,2673.9
8136,Julian Olson,,4,0,49,6,1619.1
8137,Xiomara Paucek,,3,0,33,3,2252.3
8138,Marvin Koepp,,3,0,60,5,525.45
8139,Alan Hyatt,78.91.143.197,3,1,58,3,485.1
8140,Alec Hills,77.216.221.255,1,1,34,7,1995.1
8141,Leeann Ullrich,,4,0,19,7,1548.3
8142,Angla Herman,,3,0,37,5,1315.0
8143,Roselia Wyman,38.236.243.68,1,1,60,3,608.17
8144,Tracie Pouros,1.8.17.112,4,1,24,5,1682.6
8145,Theressa Herzog,91.232.3.207,4,1,39,7,388.4
8146,Derrick McClure,,3,0,58,2,2467.2
8147,Greg Littel,146.30.153.166,4,1,49,2,1953.3
8148,Gerard Hauck,,2,0,68,2,423.41
8149,Dwain Tremblay,35.156.144.61,3,1,42,2,809.89
8150,Chastity Rodriguez,,3,0,60,4,2663.8
8151,Gino Predovic,,2,0,75,6,25.456
8152,Michelina Christiansen,,4,0,19,2,2778.6
8153,Gertha Borer,18.16.69.11,4,1,50,4,784.67
8154,Rocky Hamill,111.1.202.224,4,1,35,2,1732.6
8155,Andres Medhurst,225.212.212.225,4,1,44,3,1689.7
8156,Ebony Hettinger,9.131.31.81,1,1,40,4,311.1
8157,Rusty Weber,42.140.31.89,3,1,27,6,908.0
8158,Marth Schaden,,4,0,23,3,2717.1
8159,Wesley Ortiz,,2,0,74,3,130.05
8160,Morgan Leuschke,64.166.58.233,3,1,28,4,637.06
8161,Jamey Wiza,,3,0,44,8,417.37
8162,Antonio Ankunding,161.108.203.109,1,1,49,2,948.86
8163,Chaya Gibson,65.135.179.113,1,1,34,5,1398.7
8164,Laure Reinger,132.214.118.55,4,1,33,3,1280.3
8165,Kurt Schuppe,,4,0,27,5,257.12
8166,Devorah Pagac,69.245.22.141,3,1,48,2,146.71
8167,Stephen Jacobs,,4,0,23,8,1239.0
8168,Granville Johnson,23.86.194.137,1,1,49,2,159.94
8169,Tyler Collier,,4,0,21,2,821.63
8170,Edith Kshlerin,85.95.38.42,3,1,39,3,802.83
8171,Adolph Cummings,,3,0,47,2,180.13
8172,Dominick Cormier,,4,0,48,3,339.02
8173,Glen Rosenbaum,201.220.38.218,4,1,37,1,1946.4
8174,Muriel Stark,,4,0,39,8,1832.8
8175,Rutha Kshlerin,125.72.3.24,4,1,21,3,1139.4
8176,Emely Wiza,230.2.229.235,4,1,55,1,606.32
8177,Brett Greenholt,,2,0,36,5,348.6
8178,Loni O'Kon,112.234.197.207,4,1,55,1,1843.0
8179,Jolie Larkin,132.220.150.151,4,1,39,1,180.46
8180,Sherilyn Douglas,38.146.69.243,1,1,42,1,1561.4
8181,Mitsuko Gutkowski,,4,0,34,3,187.1
8182,Albert Harber,,4,0,62,1,1376.8
8183,Jerold Heaney,189.40.184.2,1,1,48,2,1247.0
8184,Cory Nienow,,2,0,41,6,452.5
8185,Kacy Bernhard,,4,0,21,7,2429.8
8186,Zonia Gleichner,,4,0,54,8,1311.0
8187,Rosalia Romaguera,,2,0,43,3,430.76
8188,Clarence Rowe,101.56.77.52,4,1,27,3,1205.7
8189,Avery Hermann,,2,0,31,4,199.29
8190,Eula Huel,138.70.206.64,3,1,28,7,955.37
8191,Abe Ortiz,154.193.31.1,4,1,34,6,167.12
8192,Fatimah Stoltenberg,,4,0,37,7,1198.5
8193,Michelina Farrell,,2,0,31,7,95.17
8194,Cornell Metz,,4,0,34,6,1253.2
8195,Davis Ryan,,2,0,39,5,139.63
8196,Trinidad Baumbach,167.185.244.188,1,1,48,2,971.99
8197,Julietta Dach,50.190.179.251,3,1,56,5,798.0
8198,Bernie Collier,,3,0,27,3,767.45
8199,Leeanna Mosciski,,2,0,67,2,91.775
8200,Suzanna Marquardt,,2,0,36,2,161.58
8201,Bruno Boyer,166.167.246.205,4,1,49,1,932.72
8202,Raye Gislason,97.73.242.249,3,1,69,4,74.15
8203,Van Jaskolski,177.164.192.9,1,1,29,2,1014.9
8204,Carroll Stark,119.195.76.133,3,1,46,7,399.95
8205,Dana Schaefer,,4,0,51,5,2355.4
8206,Lori Abshire,,2,0,33,6,337.29
8207,Rick Beatty,169.125.23.171,1,1,67,7,348.23
8208,Porsche Pollich,162.247.15.228,4,1,20,3,339.59
8209,Lowell Krajcik,,4,0,45,4,2618.7
8210,Maryjo Hickle,,2,0,36,1,349.67
8211,Dewey Kassulke,146.80.8.65,1,1,32,6,456.59
8212,Grisel Raynor,182.248.161.173,3,1,24,7,613.41
8213,Lyndon Cummerata,133.74.138.249,3,1,48,7,995.07
8214,Cletus Olson,,2,0,53,2,68.169
8215,Reinaldo Erdman,233.65.13.156,1,1,53,5,647.37
8216,Jamel Gerlach,89.169.206.20,4,1,28,4,1729.5
8217,Jackson Renner,19.53.237.6,3,1,36,6,353.06
8218,Darcy Douglas,217.123.116.46,1,1,70,7,668.85
8219,Pete Quitzon,208.49.228.177,1,1,34,3,249.46
8220,Rudy Beahan,231.91.182.225,1,1,63,6,402.7
8221,Kirk Daugherty,,4,0,48,8,1220.1
8222,Denny Yost,220.93.24.18,1,1,40,6,831.99
8223,Clifford Feeney,196.50.147.165,4,1,50,8,133.95
8224,Wilmer Davis,190.122.159.175,4,1,49,6,1705.8
8225,Stephanie Herzog,242.123.131.223,1,1,51,3,1554.5
8226,Augustine Hauck,93.95.151.190,4,1,42,5,771.94
8227,Chasidy Heidenreich,,4,0,48,4,2000.5
8228,Miguel Hettinger,,2,0,49,4,326.54
8229,Craig Koepp,142.240.199.80,4,1,34,2,1741.4
8230,Zachery Brakus,,2,0,44,5,297.1
8231,Garfield Zieme,,2,0,62,4,411.45
8232,Robby Gerlach,,4,0,33,2,1470.3
8233,Ellamae Grant,,3,0,59,7,2545.8
8234,Denisha O'Keefe,,2,0,52,3,339.84
8235,Misti Mann,,3,0,22,3,240.98
8236,Mauricio Volkman,,2,0,83,4,241.7
8237,Elina Cremin,56.16.221.131,1,1,32,8,759.81
8238,Vernetta Bednar,126.87.18.250,4,1,54,3,946.83
8239,Robert Goyette,,4,0,25,7,1727.3
8240,My Lueilwitz,31.88.162.249,1,1,63,4,634.51
8241,Malena Graham,1.143.61.93,1,1,47,4,960.18
8242,Matthew Moore,,3,0,37,8,476.11
8243,Adalberto McKenzie,,3,0,46,7,1522.3
8244,Cedrick Cummerata,,4,0,46,8,208.41
8245,Deandre Heidenreich,171.201.150.123,4,1,53,5,531.13
8246,Hershel Willms,,2,0,69,4,38.885
8247,Anastacia Swift,207.172.112.19,3,1,45,7,204.5
8248,Eula Herman,,2,0,34,5,267.26
8249,Stephenie Batz,115.243.136.102,4,1,35,3,1269.6
8250,Patrick Willms,30.222.198.150,1,1,40,5,643.9
8251,Maurine McLaughlin,76.210.31.11,1,1,54,3,401.58
8252,Moriah Cummerata,53.150.12.148,1,1,31,3,299.26
8253,Newton Shanahan,,4,0,33,5,2778.6
8254,Andre Heidenreich,29.71.143.48,1,1,25,3,901.04
8255,Mercedez Renner,215.83.26.85,3,1,56,8,333.98
8256,Shakita Roberts,,4,0,36,5,2569.8
8257,Domenic Bahringer,,4,0,60,6,2129.7
8258,Lizbeth Rohan,183.249.159.34,4,1,53,7,1136.3
8259,Antoine McClure,97.7.192.239,3,1,30,6,983.83
8260,Su Haley,,4,0,28,5,2783.8
8261,Lyndsay Auer,,4,0,55,7,1864.8
8262,Walton Kovacek,,2,0,56,6,434.11
8263,Giuseppe Herman,,3,0,41,2,134.79
8264,Laronda Rempel,,3,0,27,8,1345.6
8265,Yuko Schulist,,2,0,77,2,235.57
8266,Lisa Medhurst,,4,0,26,4,2797.3
8267,Mignon Rath,,3,0,42,5,524.42
8268,Quentin Batz,,3,0,62,8,2180.6
8269,Freeman Gusikowski,148.201.5.157,1,1,73,5,884.58
8270,Kathyrn Bechtelar,,2,0,80,2,371.32
8271,Samual Gorczany,54.179.38.164,1,1,42,1,745.09
8272,Angle Cruickshank,162.51.19.201,3,1,73,8,544.68
8273,Ambrose Gutmann,139.246.220.121,4,1,33,3,1929.9
8274,Chuck Schuppe,,4,0,57,4,708.22
8275,Ingrid Lueilwitz,,4,0,35,4,2236.5
8276,Philip Gottlieb,55.90.91.130,4,1,37,7,1564.6
8277,Jasper Carroll,,4,0,56,7,2737.3
8278,Eva Donnelly,,2,0,54,6,69.233
8279,Maryjane Beatty,6.32.40.185,1,1,42,5,706.1
8280,Edgardo Fisher,,2,0,82,6,432.68
8281,Yetta O'Reilly,,2,0,40,6,146.08
8282,Eustolia Prosacco,81.156.35.125,4,1,23,3,1726.4
8283,Corazon Thiel,,2,0,66,2,396.07
8284,Wilford McKenzie,,3,0,28,8,2016.6
8285,Morton Murphy,101.236.78.211,3,1,42,6,246.81
8286,Jackqueline Ratke,,4,0,19,2,2413.8
8287,Monroe Lakin,,2,0,56,4,87.59
8288,Jame Kohler,,3,0,25,3,458.97
8289,Marlys Funk,,4,0,28,3,1453.5
8290,Camie Abshire,,3,0,36,6,1178.8
8291,Caroll Leuschke,,4,0,42,6,1046.3
8292,Austin Bashirian,,4,0,37,3,2639.5
8293,Eli Jacobson,105.23.139.181,4,1,29,5,606.35
8294,Myrtis Wisozk,,4,0,52,3,2476.2
8295,Geraldo Tremblay,,2,0,73,5,401.98
8296,Lindsay Ruecker,,2,0,72,2,426.5
8297,Yan Runte,195.29.254.232,1,1,38,7,776.75
8298,Shelton Beier,,2,0,28,6,341.47
8299,Joeann Sipes,,3,0,41,5,1116.7
8300,Rose Okuneva,90.202.61.89,1,1,54,8,1054.7
8301,Eva Walsh,92.53.133.197,1,1,30,6,1836.2
8302,Britt Nolan,209.19.76.81,4,1,38,8,712.75
8303,Tory Harber,241.230.204.228,1,1,48,2,75.387
8304,Roxana Shanahan,209.40.92.232,4,1,49,1,635.17
8305,Willetta Kautzer,18.181.93.31,1,1,48,6,1958.7
8306,Lou Bahringer,,4,0,30,6,1759.2
8307,Everette Kulas,164.216.185.177,4,1,38,6,241.87
8308,Tuyet Grimes,153.211.108.162,1,1,25,4,540.79
8309,Janelle Jacobi,4.68.162.155,3,1,35,7,311.96
8310,Arletta Mertz,,2,0,59,8,72.919
8311,Emanuel Feil,12.83.34.154,1,1,33,6,191.05
8312,Geoffrey Halvorson,,2,0,51,4,181.82
8313,Shavonda Satterfield,,2,0,58,2,451.03
8314,Sherrill Morar,40.100.76.21,4,1,52,4,76.086
8315,Corrina O'Reilly,,2,0,61,3,55.526
8316,Manuel Schumm,165.33.152.120,3,1,41,7,410.58
8317,Kendall Jenkins,173.51.107.235,3,1,61,8,281.62
8318,Damien Romaguera,,2,0,56,5,150.2
8319,Jorge White,137.31.77.25,1,1,54,2,1892.6
8320,Clifford Batz,37.10.93.170,1,1,57,6,202.7
8321,Suzy Pouros,,3,0,46,6,2262.9
8322,Riley Jenkins,,3,0,41,5,174.54
8323,Carletta Aimonetti,,2,0,49,3,60.57
8324,Ruthann Frami,100.108.34.111,4,1,29,7,198.34
8325,Titus Lebsack,,3,0,56,7,1634.5
8326,Dillon Batz,,4,0,20,1,2944.4
8327,Marilyn Walker,215.171.191.10,1,1,48,4,733.41
8328,Aurelia Veum,,2,0,41,2,7.1017
8329,Silvia Kris,217.1.111.86,4,1,52,5,465.82
8330,Sterling Russel,,2,0,37,8,166.99
8331,Tisa Bauch,,2,0,30,1,188.08
8332,Diana Kunze,122.163.55.103,3,1,40,3,524.23
8333,Devon Harber,,4,0,24,5,1088.9
8334,Dulce Rempel,65.83.203.84,3,1,52,2,914.18
8335,Alex Gerhold,226.178.152.68,1,1,39,8,570.04
8336,Clarence Fritsch,,2,0,65,5,148.4
8337,Josh Kulas,106.250.179.176,4,1,39,6,1088.0
8338,Ronnie Medhurst,66.235.73.133,1,1,32,6,862.0
8339,Levi Parisian,,2,0,33,7,106.38
8340,Winford Hansen,,2,0,64,3,132.04
8341,Sheridan Turcotte,,3,0,55,2,2905.7
8342,Drucilla Bahringer,226.84.115.158,1,1,59,7,560.62
8343,Franklin Koepp,,4,0,31,2,334.19
8344,Johanna Wilkinson,,4,0,19,3,564.71
8345,Gearldine Kuhlman,,4,0,39,6,1264.0
8346,Marcelo Tromp,,2,0,44,3,64.356
8347,Coral McClure,177.17.7.76,1,1,42,8,1532.1
8348,Ella Romaguera,130.114.167.246,4,1,49,2,1914.0
8349,Jeremy Pfannerstill,,2,0,74,5,82.161
8350,Ellsworth Leffler,,4,0,60,2,2460.7
8351,Janee Johnston,,2,0,49,5,63.362
8352,Tad Dicki,,2,0,30,6,27.015
8353,Emmett Nikolaus,251.197.42.163,1,1,73,6,61.67
8354,Deidre Greenfelder,206.152.1.219,3,1,53,6,599.99
8355,Lizabeth Hyatt,183.43.103.198,1,1,20,3,1399.8
8356,Bruce Runolfsdottir,,3,0,51,6,1817.8
8357,Monique Roob,99.194.181.199,1,1,40,3,1627.8
8358,Earle Rogahn,,2,0,39,5,319.39
8359,Emery Hintz,59.202.25.215,4,1,28,3,368.17
8360,Ashanti Ritchie,179.13.247.125,4,1,50,8,840.35
8361,Oralee Pfeffer,244.175.168.49,1,1,50,4,397.65
8362,Greg Klein,,4,0,36,3,315.81
8363,Harrison Feest,207.162.75.131,1,1,27,1,1891.3
8364,Breanna Lynch,,2,0,32,8,373.49
8365,Helen Graham,,4,0,56,7,233.44
8366,Sunni Gutkowski,,2,0,70,7,453.37
8367,Roberto Sporer,,4,0,35,5,2453.2
8368,Lavada Franecki,242.21.82.239,3,1,48,7,379.68
8369,Van Walsh,,2,0,41,6,397.0
8370,Delcie Gerhold,,3,0,53,2,455.4
8371,Lisha Hyatt,,3,0,25,6,686.6
8372,Damian McCullough,182.141.133.97,3,1,73,2,73.374
8373,Errol Thiel,117.62.63.75,1,1,44,4,632.75
8374,Bryant Rau,,2,0,42,2,22.879
8375,Demarcus Muller,35.39.184.90,1,1,37,6,482.02
8376,Rosario Roob,,2,0,79,7,23.302
8377,Ashlie Fadel,,3,0,40,6,950.32
8378,Carlos Smitham,79.22.255.150,4,1,22,6,1917.8
8379,Katelynn West,101.93.243.70,1,1,35,4,742.69
8380,Clotilde Rice,,2,0,62,3,115.56
8381,Delisa Smitham,,4,0,41,1,1217.2
8382,Tonette Moen,123.195.168.118,4,1,51,1,270.66
8383,Juan Gusikowski,,2,0,74,5,416.51
8384,Tommy Grady,,2,0,54,3,75.68
8385,Wilber Emard,206.168.134.46,4,1,22,8,282.09
8386,Yong Mante,55.183.230.213,3,1,26,2,324.23
8387,Lemuel Ledner,2.90.149.40,1,1,46,2,526.65
8388,Sherwood Greenholt,,2,0,40,2,418.02
8389,Kim Nikolaus,,2,0,41,3,44.585
8390,Hershel Crist,28.159.195.10,1,1,30,5,1111.3
8391,Samuel Koss,153.34.51.76,1,1,20,3,131.21
8392,Tracee Deckow,239.33.251.157,3,1,33,4,88.022
8393,Salvatore Jewess,218.140.16.213,4,1,22,7,99.792
8394,Lon Huel,,4,0,46,6,417.5
8395,Dana Cummings,,3,0,37,4,2908.9
8396,Russel Nikolaus,,3,0,52,4,240.32
8397,Emmitt Howe,,3,0,23,4,429.04
8398,Bonita Goodwin,,4,0,19,7,1066.0
8399,Lindsay Hamill,88.168.34.225,1,1,68,7,642.1
8400,Emmaline Rowe,67.207.191.40,1,1,26,2,676.01
8401,Irving Daniel,,2,0,54,8,16.906
8402,Michal Grimes,,2,0,59,8,322.25
8403,Jerrell O'Connell,103.118.62.18,1,1,30,5,1557.1
8404,Kenna Jenkins,2.155.142.126,3,1,37,7,857.41
8405,Mitchell O'Reilly,97.7.94.213,1,1,52,7,711.08
8406,Luba Parisian,11.54.77.198,3,1,67,4,948.19
8407,Felix Kris,99.197.222.96,4,1,22,3,1402.2
8408,Ned Luettgen,,3,0,62,4,1988.4
8409,Aurelio Trantow,238.83.92.217,1,1,29,4,358.97
8410,Emmitt Reilly,,2,0,71,3,107.84
8411,Elaine Zieme,215.214.122.174,1,1,35,5,789.91
8412,Syreeta Von,218.179.221.211,1,1,46,6,488.62
8413,Aimee Braun,,2,0,71,8,208.32
8414,Charlie Harris,,3,0,62,7,876.24
8415,Virginia Rosenbaum,100.79.186.117,4,1,40,3,1053.9
8416,Augustus Kris,3.22.37.127,3,1,35,2,453.29
8417,Lorenzo Hilpert,200.127.5.134,4,1,38,3,525.88
8418,Shane Hayes,72.148.239.174,3,1,45,6,765.5
8419,Jacqueline Cremin,,3,0,53,5,1574.8
8420,Danyell Botsford,82.158.104.100,1,1,35,3,979.72
8421,Tiana Kilback,146.100.10.84,1,1,44,1,268.18
8422,Matthew Aimonetti,96.178.147.228,3,1,61,7,538.26
8423,Rickie Mertz,183.4.225.11,3,1,65,5,386.76
8424,Kimberley Ondricka,,4,0,49,1,131.52
8425,Karlene Flatley,,2,0,57,7,214.77
8426,Caterina Hauck,155.251.43.216,3,1,50,5,435.97
8427,Gaylord Hermann,67.203.247.190,3,1,55,7,797.58
8428,Deadra Towne,26.26.185.132,4,1,46,3,1225.0
8429,Sidney Hilll,,2,0,59,8,473.85
8430,Chang Collins,,2,0,52,7,103.67
8431,Chantell Corwin,,2,0,66,5,180.64
8432,Archie Bergstrom,25.198.133.161,3,1,58,4,93.181
8433,Jeffery Labadie,,4,0,52,6,806.2
8434,Vaughn Koelpin,6.217.224.40,1,1,27,7,1282.8
8435,Armanda Wehner,191.182.207.165,1,1,42,4,355.82
8436,Un Ledner,5.89.211.207,4,1,49,3,887.48
8437,Maile Mueller,216.168.114.133,3,1,55,3,640.21
8438,Suzy Wolf,78.92.26.128,4,1,40,7,1937.1
8439,Tara Morissette,5.20.15.30,3,1,67,2,879.34
8440,Deshawn Rogahn,,2,0,59,6,267.15
8441,Stefan Jakubowski,216.29.40.120,4,1,44,3,1121.1
8442,Nerissa Beer,,4,0,63,2,736.24
8443,Antwan Howe,,3,0,19,2,935.86
8444,Dalton Schneider,106.44.13.211,1,1,53,4,134.62
8445,Concha Weber,,3,0,40,6,1524.9
8446,Quinn Lueilwitz,,2,0,30,4,346.02
8447,Cruz Baumbach,,3,0,49,2,2958.3
8448,Richard Hagenes,52.2.104.253,1,1,35,4,1054.4
8449,Levi Sawayn,175.14.122.39,3,1,49,7,266.08
8450,Latoyia Hoeger,,2,0,59,2,484.2
8451,Chelsie Schulist,,2,0,70,1,300.25
8452,Renato Emmerich,,2,0,30,2,63.242
8453,Trena Sanford,,2,0,66,3,231.84
8454,Junie Schroeder,,2,0,75,8,91.779
8455,Alfredo Legros,17.47.160.127,1,1,30,1,962.93
8456,Karly Gulgowski,,2,0,39,5,438.41
8457,Melodie Hand,100.42.158.19,1,1,64,7,610.77
8458,Johnny Walker,250.38.112.218,3,1,44,7,549.06
8459,Santina Mann,,2,0,65,4,276.0
8460,Samira Hagenes,,2,0,42,3,426.87
8461,Wilfred Ziemann,223.183.222.217,4,1,46,2,1466.9
8462,Freddie Harvey,,4,0,19,5,959.54
8463,Caryn Kertzmann,,3,0,27,6,2813.6
8464,Desiree Swift,180.14.139.14,3,1,25,3,426.58
8465,Ericka Rolfson,29.24.236.217,3,1,65,3,487.04
8466,Nannette Farrell,42.182.227.210,1,1,54,8,1390.0
8467,Sharleen Thompson,,4,0,59,3,1360.6
8468,Calvin Daniel,146.104.23.114,3,1,48,6,653.5
8469,Georgia Ernser,48.168.155.179,4,1,31,4,1352.2
8470,Norman Hermiston,,3,0,19,4,2891.0
8471,Bruce Upton,,2,0,80,3,432.15
8472,Vern Konopelski,250.128.192.145,1,1,34,5,899.41
8473,Henry Kling,,2,0,81,4,24.683
8474,Lauran Hoeger,,2,0,31,7,33.837
8475,Joselyn Larkin,35.148.104.126,1,1,49,1,65.197
8476,Roxana Weber,139.30.37.102,4,1,41,3,1466.1
8477,Carrol Wuckert,,2,0,65,7,40.709
8478,Marth Davis,,2,0,35,8,135.81
8479,Darrel Gaylord,,2,0,43,5,107.52
8480,Joelle Baumbach,133.64.46.157,1,1,54,6,128.73
8481,Francis Brakus,,2,0,58,4,135.08
8482,Sterling Greenfelder,53.74.246.202,1,1,52,5,360.64
8483,Ramon Doyle,194.205.206.32,1,1,28,2,1242.5
8484,Ernest Murray,178.120.1.149,4,1,33,4,882.07
8485,Monty Spencer,,2,0,51,6,50.943
8486,Fernando Weimann,111.76.9.55,3,1,60,6,889.08
8487,Logan Schoen,5.178.117.42,1,1,70,3,126.1
8488,Jacques Bergstrom,201.78.71.227,3,1,70,3,186.16
8489,Alexis Barton,45.198.76.80,3,1,71,4,52.796
8490,Austin Bernier,153.62.83.120,1,1,43,1,498.19
8491,Edra Hilll,248.174.161.54,1,1,46,2,491.78
8492,Gerald Mills,122.77.224.115,1,1,49,7,1814.8
8493,Chang Feil,234.222.143.17,3,1,46,3,222.01
8494,Milo Skiles,54.243.199.218,1,1,24,5,921.54
8495,Josef Carter,,2,0,74,6,163.0
8496,Dewitt Marquardt,,4,0,22,6,2081.2
8497,Tashina Donnelly,43.125.157.95,4,1,27,2,1474.3
8498,Antone Hauck,,2,0,47,4,217.49
8499,Chung Schulist,,2,0,32,7,61.602
8500,Patrick Bernhard,,4,0,31,8,1929.7
8501,Darrel Wolf,,2,0,85,8,401.9
8502,Florance Swift,,4,0,35,7,1317.1
8503,Daron McDermott,17.175.190.134,1,1,23,7,1464.9
8504,Vernell Gibson,,2,0,57,5,428.57
8505,Eileen Feest,,2,0,42,3,328.11
8506,Dwain Streich,253.191.154.133,3,1,55,4,385.36
8507,Shela Jones,,3,0,49,6,1178.0
8508,Cameron Rohan,14.1.242.99,1,1,25,7,655.08
8509,Cornell Wuckert,220.36.198.232,1,1,20,3,725.72
8510,Ashanti Sporer,36.179.235.2,1,1,70,8,685.11
8511,Santo Williamson,,3,0,22,7,2428.0
8512,Man Purdy,112.249.193.166,1,1,66,1,323.24
8513,Gus Reilly,55.25.121.44,1,1,44,5,176.12
8514,Juan Sawayn,,4,0,60,3,1779.6
8515,Jermaine Heaney,251.172.5.245,4,1,33,4,853.52
8516,Pablo Bechtelar,,2,0,30,2,85.756
8517,Gilberto Bartoletti,,3,0,29,3,587.65
8518,Franklin Batz,185.124.147.87,1,1,44,3,877.08
8519,Cheyenne Kemmer,70.201.34.10,3,1,60,6,792.71
8520,Edmond Dach,223.143.49.63,3,1,69,8,63.947
8521,Leeanne Altenwerth,,2,0,60,2,249.38
8522,Esteban Stroman,161.57.172.191,4,1,24,7,546.36
8523,Danita Legros,,4,0,51,7,278.08
8524,Adela Von,,2,0,45,8,190.23
8525,Yolonda Spinka,206.203.245.6,4,1,25,8,169.27
8526,Perry Pollich,,2,0,43,5,457.3
8527,Santos Harber,,2,0,40,5,75.85
8528,Jessie Vandervort,,3,0,33,6,1300.2
8529,Rachal Bailey,97.66.155.64,4,1,23,7,1430.4
8530,Olin Gislason,,4,0,30,5,1449.3
8531,Orlando Kozey,,2,0,78,2,449.57
8532,Miquel Marquardt,,4,0,57,1,1431.8
8533,Werner Leffler,37.14.193.31,4,1,39,2,1272.5
8534,Francene Jakubowski,223.44.128.139,4,1,33,2,748.29
8535,Kazuko Kerluke,116.189.54.186,4,1,36,7,508.57
8536,Charlott Wiza,34.127.54.56,3,1,29,6,372.58
8537,Krystin Wilderman,187.211.128.29,1,1,25,5,269.99
8538,Stephenie Boyer,232.54.22.129,1,1,33,5,1329.4
8539,Joye Hansen,222.212.39.116,4,1,55,7,1544.5
8540,Ashli Block,,4,0,27,2,2567.0
8541,Christiane Casper,,2,0,74,6,79.591
8542,Byron Kozey,73.87.187.118,3,1,47,6,229.92
8543,Nadine Collins,,4,0,35,7,717.83
8544,Tommie Brakus,105.247.171.64,3,1,38,2,495.25
8545,Venice Lubowitz,121.74.75.64,4,1,27,4,1893.8
8546,Wilber Harvey,138.244.216.103,1,1,38,4,186.43
8547,Lesley Bernhard,,2,0,73,3,495.86
8548,Laurinda Erdman,,4,0,52,6,204.36
8549,Jacquelyn Boyle,142.153.110.245,1,1,64,5,730.45
8550,Veronique Hilpert,223.166.37.169,4,1,38,2,875.43
8551,Verda Corkery,,4,0,38,6,832.32
8552,Genie Gerlach,,2,0,81,8,100.83
8553,Roselle Larson,98.195.102.34,4,1,44,8,1217.4
8554,Evie Hayes,,4,0,41,4,2036.9
8555,Thomas Kris,80.92.26.193,1,1,69,5,394.78
8556,Cleora Bergstrom,,4,0,41,7,1862.1
8557,Gabriel Muller,4.129.168.10,1,1,25,5,307.87
8558,Alvaro Yost,125.177.199.187,1,1,50,6,1165.5
8559,Vern Towne,,4,0,46,2,2404.3
8560,Stevie Smith,149.250.79.50,1,1,68,6,300.04
